epoch,step,train_loss,val_loss
0,49,1.7671900779752134,
0,99,1.4973923355251424,
0,149,1.4121530571665637,
0,152,,1.3762580863012337
1,199,1.4221586162877993,
1,249,1.3826736079607242,
1,299,1.3891924140420306,
1,305,,1.3610991298243422
2,349,1.3271585328724778,
2,399,1.3675978790837284,
2,449,1.3839701356562035,
2,458,,1.3584972423918937
3,499,1.4398026779156712,
3,549,1.2735222156776007,
3,599,1.3999704499254875,
3,611,,1.3556910028516027
4,649,1.4950644451445438,
4,699,1.303653027252548,
4,749,1.4296781386623376,
4,764,,1.3564827183182435
5,799,1.234867703844323,
5,849,1.2582074126840963,
5,899,1.3959328120696144,
5,917,,1.353603167900374
6,949,1.2924120823308107,
6,999,1.3017215243025588,
6,1049,1.2515284860582645,
6,1070,,1.352711064075498
7,1099,1.3557609241159874,
7,1149,1.362144145516804,
7,1199,1.297327841602481,
7,1223,,1.3543631472977105
